Name,Instagram URL,FoodPanda URL,Google Maps URL,Menu URL,Address,Contact Number,Tag Ambience,Tag Occasion,Tag Cuisine,Rating
Yuka Coffee Bar,https://www.instagram.com/yestoyuka/,https://www.foodpanda.pk/restaurant/sls0/yuka-coffee,https://maps.app.goo.gl/y4ZCkJ1sBjS88KLs5,,"Allama Shabbir Ahmed Usmani Rd, Block 4 Gulshan-e-Iqbal, Karachi, Pakistan","03319852111, ","modern, trendy, bright-lit","coffee-break, casual-meal","coffee-specialty, cafe",4.9
Dunkin Donuts,https://www.instagram.com/dunkinpk/,"https://www.foodpanda.pk/restaurant/s2qn/dunkin-gulshan-disco, https://www.foodpanda.pk/restaurant/s0si/dunkin-clifton, https://www.foodpanda.pk/restaurant/u1zn/dunkin-phase-2, https://www.foodpanda.pk/restaurant/s3qx/dunkin-tipu-sultan-road, https://www.foodpanda.pk/restaurant/w9kl/dunkin-donuts-johar-odr, https://www.foodpanda.pk/restaurant/u3av/dunkin-atrium-mall, https://www.foodpanda.pk/restaurant/v4ww/dunkin-donuts-rahat-odr, https://www.foodpanda.pk/restaurant/w3yz/dunkin-donuts-nazimabad-odr","https://maps.app.goo.gl/UQmoXSXRMuP7NXgQA, https://maps.app.goo.gl/XdagDgWzXPMHVQ4CA, https://maps.app.goo.gl/xPKN6ruNdyXyjGAr9, https://maps.app.goo.gl/UBpq29d6ew1pLxPE7, https://maps.app.goo.gl/5AfbaJYAegv7tVWbA, https://maps.app.goo.gl/ziLDri7ANH6SEq67A, https://maps.app.goo.gl/VYX2iLMicL7i5sfL8, https://maps.app.goo.gl/dVw2gjouvyteu4Jy9, https://maps.app.goo.gl/i5HhoGGyJ3K3zBkh8, https://maps.app.goo.gl/GPFwyH2aZxkC3tqL6, https://maps.app.goo.gl/cEvc4wjs9b1ZxztXA, https://maps.app.goo.gl/zoJae5ZTdzKr11Vv5, https://maps.app.goo.gl/rWzyCoEWwmh6BfH2A, https://maps.app.goo.gl/PJTSBziDvVmTRw6j8, https://maps.app.goo.gl/YueNcDviXNUMxdPU9",,"Bungalow #2, Block 7? 8 Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Karachi Memon Society P.E.C.H.S., Karachi, Pakistan, Ground Floor Shop No.1? Mumtaz Manzil, Main University Rd, Block 1 Gulistan-e-Johar, Karachi, Pakistan, 3A? Kings Trade Centre? Block 3 Abul Asar Hafeez Jalandhari Rd, Block 3-A Block 3 A Gulistan-e-Johar, Karachi, Pakistan, V24J+C48, Atrium Mall, Karachi Cantonment, Karachi, Pakistan, Commercial Area A Phase 2 Karachi, 75500, Pakistan, W3MP+4VM, Lucky One Mall, Block 21 Gulberg Town, Karachi, Pakistan, Board Office Roundabout, Sharah-e-Sher Shah Suri, Block A North Nazimabad Town, Karachi, 74600, Pakistan, B 105, Block H North Nazimabad Town, Karachi, 74700, Pakistan, Regency Apartments, Allama Shabbir Ahmed Usmani Rd, Block 4 Gulshan-e-Iqbal, Karachi, 75300, Pakistan, Garden, East, Garden East Karachi, Pakistan, Marine Point Rd, Sunset Blvd Rd, Block 9 Clifton, Karachi, 75600, Pakistan, Malir Cantonment, Karachi, Pakistan, 32C, 13th Lane, Khayaban-e-Bukhari, D.H.A Phase 6 Defence Housing Authority, Karachi, 75500, Pakistan, 1st Foor, Dolmen Mall, Block 4 Clifton, Karachi, Pakistan, 35c 26th Street, DHA Phase 5 Badar Commercial Area Defence V Defence Housing Authority, Karachi, 75500, Pakistan","021111366887, 03454069713, 03474475003, 03474474674, 03454068239, 03474474931, 03454068239, 03474474967, 03451143821, 03451143742","bright-lit, energetic, casual","coffee-break, casual-meal","coffee-specialty, cafe",4.6
Froth Coffee,https://www.instagram.com/getfroth/,"https://www.foodpanda.pk/restaurant/moq5/froth-the-coffee-bar, https://www.foodpanda.pk/restaurant/kzvk/froth-tipu-sultan","https://maps.app.goo.gl/w9AGqLUQqvYVEAMx5, https://maps.app.goo.gl/tYx3BSAKemANQHjs7",,"Shop #3, 33-C Khayaban-e-Seher, D.H.A Phase 6 Shahbaz Commercial Area Phase 6 Defence Housing Authority, Karachi, 75500, Pakistan, Shop # 12, Sky Garden KDA, Tipu Sultan Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Pakistan","03331137684, 03340137684","industrial, modern, lively","coffee-break, study-session","coffee-specialty, cafe",4.7
Cafe Praha,https://www.instagram.com/caffepraha/,https://www.foodpanda.pk/restaurant/uvos/caffe-praha-estreet,https://maps.app.goo.gl/Eiw3qgasi8jnXiZz7,,"C33 E St, Block 4 Clifton, Karachi, 75300, Pakistan",,"intimate, dim-lit, elegant","date, coffee-break","coffee-specialty, cafe",4.8
Gogo's,https://www.instagram.com/gogoskarachi/,1,https://maps.app.goo.gl/918WbNo8dnbf4CKD8,,"SKBZ ground, Khayaban-e-Rahat, inside SKBZ ground, D.H.A Phase 6 Rahat Commercial Area Phase 6 Street, Karachi, 75500, Pakistan, ",,"casual, lively, compact","casual-meal, hangout-with-friends","fast-food, american",4.7
96 NM,https://www.instagram.com/96nmcoffee/,1,https://maps.app.goo.gl/TaKd4WazmiB66mhCA,,"Shop No. 5, 20-C Lane Number 14, D.H.A Phase 6 Bukhari Commercial Area Phase 6 DHA Karachi, Karachi, 75500, Pakistan, ","03096263333, ","modern, bright-lit, spacious","coffee-break, casual-meal","coffee-specialty, cafe",4
Esquires Coffee,https://www.instagram.com/esquirespk/?hl=en,"https://www.foodpanda.pk/restaurant/a101/esquires-coffee-gulshan, https://www.foodpanda.pk/restaurant/plt6/esquires-coffee-habitt-branch, https://www.foodpanda.pk/restaurant/t8zv/esquires-coffee-zamzama, https://www.foodpanda.pk/restaurant/c5ia/esquires-coffee-khe-e-bahria, https://www.foodpanda.pk/restaurant/w1lu/esquires-coffee-dmc, https://www.foodpanda.pk/restaurant/tdvu/esquires-coffee-clifton","https://maps.app.goo.gl/27uxQsgPRtSuEnwW7, https://maps.app.goo.gl/7tz9yxfHDJ6g7JN2A, https://maps.app.goo.gl/iXb3utwMKRWyixav8, https://maps.app.goo.gl/o2rwK2pogRL5X6S86, https://maps.app.goo.gl/6xNqRcG7RAQtbrQq9, https://maps.app.goo.gl/7xoxAAcyGRUGCKZV8, https://maps.app.goo.gl/uBfJTqC4ULSY74CC6",,"17c 3rd Zamzama Commercial Lane, Zamzama Commercial Area Defence V Karachi, 75500, Pakistan, R22J+W2C, Second Floor, Dolmen Mall, Block 4 Clifton, Karachi, Pakistan, Saima Square one Mall, National Stadium Rd, Gulistan-e-Johar, Karachi, Pakistan, Main Tipu sultan road, e Faisal, Shahra, Karachi, Pakistan, 39 Khayaban-e-Bahria, DHA Phase 5 Defence V Defence Housing Authority, Karachi, 75500, Pakistan, V4G2+QRH, Shahra-e-Faisal, Karsaz Faisal Cantonment, Karachi, Pakistan, PSO PETROL STATION, Teen Talwar, Block 8 Clifton, Karachi, 75600, Pakistan","03433263333, 03433263333, 03433263333, 03433263333, 03433263333, ","polished, modern, quiet","coffee-break, business-meeting","coffee-specialty, cafe",4.8
Aristo,https://www.instagram.com/aristopk/?hl=en,https://www.foodpanda.pk/restaurant/bacg/aristo,https://maps.app.goo.gl/akTuBnMCroa7zsKCA,,"Plot #44, Sumya Elite, Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Block 7 & 8 Modern Cooperative Housing Society, Karachi, 75350, Pakistan","03114274786, ","vibrant, energetic, modern","coffee-break, casual-meal","coffee-specialty, cafe",4.3
Cocochan,https://www.instagram.com/cocochanpk/?hl=en,"https://www.foodpanda.pk/restaurant/b78b/cocochan-dha, https://www.foodpanda.pk/restaurant/b78b/cocochan-dha","https://maps.app.goo.gl/G9MJgXiF4ymPJspY8, https://maps.app.goo.gl/8tJinqQ9HMfcCBYS9",,"1A Tipu Sultan Rd, next to Xanders, Karachi Memon Co-operative Housing Society Jinnah Housing Society P.E.C.H.S., Karachi, Pakistan, 2nd floor, Dolmen City, Block 4 Clifton, Karachi, 75500, Pakistan","02134552695, 02135297836","airy, laid-back, warm-toned","brunch, casual-meal","continental, bistro",4.5
chop chop wok,https://www.instagram.com/chopchopwok/,"https://www.foodpanda.pk/restaurant/t5km/chop-chop-wok-tipu-sultan, https://www.foodpanda.pk/restaurant/kzi9/chop-chop-wok-jauhar","https://maps.app.goo.gl/hbKgaA8i49VPwarx9, https://maps.app.goo.gl/AiHRch3crCRWziK26, ",,"Shop 2, Remmco Tower, Tipu Sultan Road Karachi PK, Tipu Sultan Rd, Karachi, Pakistan, Q2WW+G6C, 57-C Khayaban-e-Badar, DHA Phase 5 Badar Commercial Area Defence V Defence Housing Authority, Karachi, 75500, Pakistan, ","021111965111, ","romantic, dim-lit, elegant","date, coffee-break","asian-fusion, pan-asian",4.8
drop coffee,https://www.instagram.com/dropcoffeebar/,"https://www.foodpanda.pk/restaurant/kyp1/drop-coffee, https://www.foodpanda.pk/restaurant/dw2f/drop-coffee-gulshan, https://www.foodpanda.pk/restaurant/lozb/drop-coffee-north-nazimabad, https://www.foodpanda.pk/restaurant/weta/drop-coffee-tipu-sultan","https://maps.app.goo.gl/esMSEMjwWeNWBzEy6, https://maps.app.goo.gl/LihShogkQcHdAFL39, https://maps.app.goo.gl/Ztyxmq8qaXTxTxWZ8, https://maps.app.goo.gl/WWorVqd3HcpFdVVK8",,"Tipu Sultan Rd, Kathiawar Society Block A Kathiawar Society, Karachi, Pakistan, Shop # 16, 2, Block 4 Gulshan-e-Iqbal, Karachi, 75300, Pakistan, A 542, Block H North Nazimabad Town, Karachi, Pakistan, lot No. 251, Beach Avenue, Street No. 3, D.H.A. Phase 8 Zone A Phase 8 Defence Housing Authority, Karachi, 75500, Pakistan","02137120763, 02134173695, 02135858093","energetic, casual, compact","coffee-break, quick-grab","asian-fusion, pan-asian",4.9
coconut grove,https://www.instagram.com/cgpakistanofficial/,,https://maps.app.goo.gl/9er3RzXyFTWsERzn6,,"Plot #36, Block 7/8, Modern Cooperative Housing Society, Main Tipu Sultan Rd, Karachi, 75350, Pakistan","03057774444, ","minimalist, bright-lit, airy","coffee-break, casual-meal","mediterranean, bistro",4.1
Chai chatt,https://www.instagram.com/chaichatt.pk/,https://www.foodpanda.pk/restaurant/pjwx/chai-chatt-tipu-sultan,https://maps.app.goo.gl/7gdPtp2JUKWCJyP76,,"Street 3, Karachi Memon Co-operative Housing Society Karachi Memon Society P.E.C.H.S., Karachi, Pakistan","03015687898, ","romantic, upscale, dim-lit","brunch, casual-meal","dessert, smoothies-yogurt",4.4
Bella vita,https://www.instagram.com/bellavitagelato/,"https://www.foodpanda.pk/restaurant/s5xe/bella-vita-tipu-sultan, ","https://maps.app.goo.gl/mzCgYRufxq4cu5ZH8, https://maps.app.goo.gl/hG5TPR2T9KNiuJ4i7, https://maps.app.goo.gl/AqeXEMMqv8A8DNSQ6, https://maps.app.goo.gl/FFXdVvBYsv9h9gPe8, https://maps.app.goo.gl/2m1CeW3XTQhsmoHu6",,"1A Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Jinnah Housing Society P.E.C.H.S., Karachi, Pakistan, V373+HXW, Sindhi Muslim Cooperative Housing Society Block A Sindhi Muslim CHS (SMCHS), Karachi, Pakistan, W3JP+WWR LuckyOne Mall, Federal B Area Block 21 Gulberg Town, Karachi, Pakistan, 10 Tariq Rd, Delhi Society Delhi CHS P.E.C.H.S., Karachi, Pakistan,R22H+XQM, Sea View Rd, Block 4 Clifton, Karachi, Pakistan","021111435286, ","vibrant, energetic, compact","coffee-break, quick-grab","italian, bistro",4.6
Olive Tree Bistro,https://www.instagram.com/olivetreebistro_bakery/,https://www.foodpanda.pk/restaurant/rgz9/olive-tree-bistro-bakery,https://maps.app.goo.gl/3UVYKThQXtwYefWX9,,"Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Karachi Memon Society Karachi","03002273307, ","intimate, dim-lit, artsy","date, coffee-break","asian-fusion, pan-asian",4.9
kanteen,https://www.instagram.com/instakanteen/,"https://www.foodpanda.pk/restaurant/qupt/kanteen-dmc, https://www.foodpanda.pk/restaurant/gvd3/kanteen-tipu-sultan","https://maps.app.goo.gl/ykKmxRyki2d6MGUJ6, https://maps.app.goo.gl/cMTZy8R24zngc2926",,"Dolmen Mall, Block 4 Clifton, Karachi, 75600, Pakistan, Plot no 12, Block 7 Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Jinnah Housing Society Karachi, 75500, Pakistan","02134534433, 02135185002","minimalist, quiet, cool-toned","coffee-break, casual-meal","american, diner",4.9
meat the cheese,https://www.instagram.com/meat_thecheese/,https://www.foodpanda.pk/restaurant/r9am/meat-the-cheese-tipu-sultan,https://maps.app.goo.gl/KsGpfFcRiWZe3WMY9,,"Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Karachi Memon Society P.E.C.H.S., Karachi, 75350, Pakistan","03111243373, ","elegant, upscale, dim-lit","celebration, coffee-break","dessert, smoothies-yogurt",4.8
Theatre ,https://www.instagram.com/theatrelivecafe/,https://www.foodpanda.pk/chain/cf1cn/theatre-live-bakery-and-cafe,https://maps.app.goo.gl/GLkB32kzEM2bgoKV7,,"25, 23-B, Maqbool Cooperative Society, Block 7, 8 Tipu Sultan Rd, Karachi, 75350, Pakistan","03202678675, ","bright-lit, trendy, vibrant","coffee-break, dessert-stop","american, diner",4.7
Satori,https://www.instagram.com/satoripakistan/,,https://maps.app.goo.gl/H4sPAzMdzzmtBGoh6,,"23 Tipu Sultan Rd, Dehli Mercantile Co-Operative Housing Society. Block 7 & 8 Karachi, 75400, Pakistan","03372526901,","energetic, compact, casual","coffee-break, casual-meal","american, diner",4.5
ala rahi,https://www.instagram.com/alarahipk/,"https://www.foodpanda.pk/restaurant/nu76/ala-rahi, ","https://maps.app.goo.gl/ETF9ef4uokVw5yMd9, https://maps.app.goo.gl/bXCQLYC5P5qSw26fA",,"V39H+P63, Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Karachi Memon Society P.E.C.H.S., Karachi, Pakistan, 19-C Ln 4, D.H.A Phase 6 Shahbaz Commercial Area Phase 6 Defence, Karachi, 75500, Pakistan","03162288500, 03111875875","upscale, romantic, dim-lit","coffee-break, hangout-with-friends","middle-eastern, mediterranean, pan-asian",4.8
Yo Fro Yo,https://www.instagram.com/yofroyopk/,,"https://maps.app.goo.gl/uyfwvLGH9pqi5P9D7, ",,"Shop # 3, Roshan Tower, Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Jinnah Housing Society Karachi, Pakistan, ","03349637696,","bright-lit, airy, casual, dessert-focused","dessert-stop, hangout-with-friends, quick-grab","dessert, frozen-yogurt, healthy",4.4
das numberi,https://www.instagram.com/das.numberi/,,"https://maps.app.goo.gl/yG99H3Sw7eaffDRd7, https://maps.app.goo.gl/xMzKDFVBkrdG1yXz7, https://maps.app.goo.gl/h2SUoqvQmbNYGw5J7",,"Q2XP+M2P, sea view park?, Defence V Defence Housing Authority, Karachi, 75500, Pakistan, Ericsson, 44, 43 Tipu Sultan Rd, Karachi Memon Co-operative Housing Society Jinnah Housing Society P.E.C.H.S., Karachi, Pakistan, Q3PR+4G8, D.H.A. Phase 8 Zone B Phase 8 Defence Housing Authority, Karachi, 75500, Pakistan","03496862374, ","casual, compact, energetic","quick-grab, casual-meal, hangout-with-friends","street-food, rolls, fast-food",4.7
zeytin,https://www.instagram.com/zeytin_pakistan/,,https://maps.app.goo.gl/MukWJWXVNbAFo5Hj7,,"Safa Residency, Shaheed-e-Millat Rd, Maniya Society Maniya CHS (MCHS) P.E.C.H.S., Karachi, 75400, Pakistan","03310223333,","elegant, warm-toned, dim-lit, spacious","date, family-outing, celebration","turkish, mediterranean, middle-eastern",4.4
